acronym_,expansion,id,text
SP,strictly piecewise,TR-30,table*[t]Accuracy on Target SP Stringsets Early Stoppingtab : resultsSPES4.5pttabularcccccccccc2c2Training & 2Test & 3cLSTM & 3cs - RNN & 2RPNI & & & 10 & 30 & 100 & 10 & 30 & 100 & 6SP2 & 21k & 1 & 0.871 ( 0.04 ) & 0.954 ( 0.05 ) & 0.992 ( 0.00 ) & 0.910 ( 0.05 ) & 0.994 ( 0.01 ) & 0.992 ( 0.01 ) & 1.000 & & 2 & 0.960 ( 0.03 ) & 0.989 ( 0.02 ) & 0.998 ( 0.00 ) & 0.976 ( 0.01 ) & 0.998 ( 0.01 ) & 1.000 ( 0.00 ) & 1.000 3 - 10 & 210k & 1 & 0.890 ( 0.07 ) & 0.941 ( 0.04 ) & 0.977 ( 0.02 ) & 0.995 ( 0.01 ) & 0.981 ( 0.05 ) & 0.999 ( 0.00 ) & 1.000 & & 2 & 0.979 ( 0.02 ) & 0.990 ( 0.01 ) & 0.994 ( 0.01 ) & 1.000 ( 0.00 ) & 0.984 ( 0.05 ) & 1.000 ( 0.00 ) & 1.000 3 - 10 & 2100k & 1 & 0.833 ( 0.14 ) & 0.819 ( 0.12 ) & 0.890 ( 0.08 ) & 0.997 ( 0.01 ) & 0.999 ( 0.00 ) & 0.997 ( 0.00 ) & 1.000 & & 2 & 0.838 ( 0.16 ) & 0.805 ( 0.13 ) & 0.872 ( 0.09 ) & 1.000 ( 0.00 ) & 1.000 ( 0.00 ) & 1.000 ( 0.00 ) & 1.000 6SP4 & 21k & 1 & 0.881 ( 0.06 ) & 0.946 ( 0.04 ) & 0.963 ( 0.03 ) & 0.887 ( 0.05 ) & 0.966 ( 0.02 ) & 0.979 ( 0.01 ) & 1.000 & & 2 & 0.950 ( 0.03 ) & 0.960 ( 0.03 ) & 0.983 ( 0.01 ) & 0.883 ( 0.05 ) & 0.975 ( 0.01 ) & 0.979 ( 0.01 ) & 1.000 3 - 10 & 210k & 1 & 0.899 ( 0.11 ) & 0.958 ( 0.07 ) & 0.991 ( 0.01 ) & 0.935 ( 0.08 ) & 0.968 ( 0.04 ) & 0.999 ( 0.00 ) & 1.000 & & 2 & 0.926 ( 0.09 ) & 0.971 ( 0.05 ) & 0.991 ( 0.01 ) & 0.954 ( 0.07 ) & 0.984 ( 0.02 ) & 1.000 ( 0.00 ) & 1.000 3 - 10 & 2100k & 1 & 0.943 ( 0.08 ) & 0.940 ( 0.08 ) & 0.920 ( 0.06 ) & 0.942 ( 0.09 ) & 0.958 ( 0.09 ) & 0.973 ( 0.07 ) & 1.000 & & 2 & 0.928 ( 0.08 ) & 0.930 ( 0.09 ) & 0.911 ( 0.07 ) & 0.951 ( 0.09 ) & 0.962 ( 0.08 ) & 0.974 ( 0.08 ) & 1.000 6SP8 & 21k & 1 & 0.884 ( 0.02 ) & 0.884 ( 0.02 ) & 0.903 ( 0.02 ) & 0.861 ( 0.01 ) & 0.878 ( 0.02 ) & 0.857 ( 0.02 ) & 0.817 & & 2 & 0.733 ( 0.03 ) & 0.643 ( 0.06 ) & 0.688 ( 0.04 ) & 0.730 ( 0.01 ) & 0.681 ( 0.06 ) & 0.625 ( 0.04 ) & 0.587 3 - 10 & 210k & 1 & 0.934 ( 0.05 ) & 0.921 ( 0.05 ) & 0.959 ( 0.03 ) & 0.908 ( 0.02 ) & 0.952 ( 0.03 ) & 0.991 ( 0.00 ) & 0.873 & & 2 & 0.637 ( 0.08 ) & 0.659 ( 0.10 ) & 0.704 ( 0.11 ) & 0.600 ( 0.08 ) & 0.640 ( 0.10 ) & 0.837 ( 0.05 ) & 0.634 3 - 10 & 2100k & 1 & 0.977 ( 0.04 ) & 0.975 ( 0.04 ) & 0.980 ( 0.02 ) & 0.964 ( 0.05 ) & 0.990 ( 0.03 ) & 1.000 ( 0.00 ) & 1.000 & & 2 & 0.881 ( 0.11 ) & 0.865 ( 0.13 ) & 0.864 ( 0.08 ) & 0.890 ( 0.08 ) & 0.942 ( 0.09 ) & 0.984 ( 0.03 ) & 1.000 tabulartable *
CS,charging station,TR-48,"Optimization problemWe consider utility functions that are a weighted sum of three aspects : the charging time , which includes the travel time to the CS , the possible time spent queuing and the effective time for charging ; the charging price , where we use the amount of energy generated from renewable sources as a proxy for the discount in the price of charging ; and finally , the distance from the CS , used as a proxy for battery discharge ( i.e. , if the battery level is very low , one may just want to choose the nearest CS ) ."
MD,mean diffusivity,TR-79,tabularp0.8cmp5.5cmp6 cm 3cAmyloid Load ( PiB Positivity ) Set 1 & PiB Angular L / R & PiB Cingulum Ant L / R & PiB Cingulum Post L / R & PiB Frontal Med Orb L / R & PiB Precuneus L / R & PiB Temporal Sup L / R & PiB Temporal Mid L / R & PiB SupraMarginal L Set 2 & FA Cerebral peduncle R & FA Cerebral peduncle L & MD Corticospinal tract R & MD Corticospinal tract L & Trail - Making Test Part A Score & MD Cerebral peduncle R & PET Cingulum Post R & tabular Group difference across Amyloid Load ( PiB Positivity)tabletable [ ! ]
STL,single task learning,TR-257,tab : schooltabularllllllllModels & STL & ITL & SHAMO & MTFL & GO - MTL & BiFactor & TriFactor 20 & 12.19 ( 0.03 ) & 12.00 ( 0.04 ) & 11.91 ( 0.05 ) & 11.25 ( 0.05 ) & 11.15 ( 0.05 ) & 10.68 ( 0.08 ) & 10.54 ( 0.09 ) 30 & 12.09 ( 0.07 ) & 12.01 ( 0.05 ) & 10.92 ( 0.05 ) & 10.85 ( 0.02 ) & 10.53 ( 0.10 ) & 10.38 ( 0.11 ) & 10.22 ( 0.08 ) 40 & 12.00 ( 0.10 ) & 11.88 ( 0.06 ) & 11.82 ( 0.06 ) & 10.61 ( 0.06 ) & 10.31 ( 0.14 ) & 10.20 ( 0.13 ) & 10.12 ( 0.10 ) tabulartable * We compare the proposed methods BiFactor MTL and TriFactor MTL against the baselines .
SO,smart object,TR-558,"& Consumer & Smart dimensions & SO 1 & SO 2 & SO & Object & & & & network Varying & & & & complexity & & & & of PP & & & & Varying & & & & query & & & & * complexity & & & & Varying & & & & number of & & & & sensing SOs & & & & tabular Experiments : - time overhead , * time and bandwidth overhead tab : expTabletable Experimental resultsIn executing our experiments , we considered three main characteristics that may impact the performance of the proposed solution ."
PG,property graph,TR-600,"However , there are also some differences between them : An RDF graph contains nodes of type resource ( whose label is an IRI ) and nodes of type Literal ( whose label is a value ) , whereas a PG allows a single type of node ; Each node or edge in an RDF graph contains just a single value ( i.e. a label ) , whereas each node or edge in a PG could contain multiple labels and properties respectively;An RDF graph supports multi - value properties , whereas a PG usually just support mono - value properties;An RDF graph allows to have edges between edges , a feature which is n't supported in a PG ( by definition);A node in an RDF graph could be associated with zero or more classes or resources , while a node in a PG usually has a single node type ."
LTE,long term evolution,TR-627,"theoremTheoremlemma[theorem]Lemmadefinition[theorem]DefinitionpropositionPropositioncorollary[theorem]CorollaryremarkRemark*noteNote1 * argmax*argmin op - tical net - works semi - conduc - torPioneering Studies on LTE eMBMS : Towards 5 G Point - to - Multipoint TransmissionsHongzhi Chen1 , De Mi1 , Manuel Fuentes2 , David Vargas 3 , Eduardo Garro4 , Jose Luis Carcel4 , Belkacem Mouhouche2 , Pei Xiao1 and Rahim Tafazolli1 1Institute for Communication Systems , University of Surrey , United Kingdom 2Samsung Electronics RD UK , United Kingdom 3BBC RD , United Kingdom 4Institute of Telecommunications and Multimedia Applications , Universitat Politecnica de Valencia , Spain Email : hongzhi.chen , d.mi , p.xiao , r.tafazolli@surrey.ac.uk , m.fuentes , b.mouhouche@samsung.com , david.vargas@bbc.co.uk , edgarcre , jocarcer@iteam.upv.esThe first 5 G ( 5th generation wireless systems ) New Radio Release-15 was recently completed ."
CT,class table,TR-858,"figure[htbp]flalign*&addExt(class C extends D , CT)= ( C extends D)CT & removeExt(class C extends D , CR ) = CR ' _ S & where CR'= aligned[t]&(T.extends : T',cond ( T C ) ) ( T.extends : T ' , cond ) CR & ( T.m : TT ' , cond(TC ) ) & ( D.m : T T ' , cond ( T = C))(T.m : TT ' , cond ) CR & ( T.m : TT ' , cond ( TC))_opt & ( D.m : T T ' , cond ( T = C))_opt & ( T.m : TT ' , cond)_opt CR & ( T.f : T ' , cond ( TC ) ) ( D.f : T ' , cond ( T = C ) ) & ( T.f : T ' , cond ) CR & S = ( T ' = D if T= C ) ( T.extends : T ' , ) CR alignedflalign*flalign*&addCtor(C , ( D g , C f ) , CT ) = ( CD ; C)CT & removeCtor(C,(D g , C f ) , CR ) = CR'_S & where CR ' = ( TT),cond ( T C ) ) ( TT ) , ) CR & ( CR(TT ) , ) ) & S = ( T = D C if T = C ) ( TT ) , ) CR flalign*flalign*&addFs(C , C_f f , CT ) = C.f : C_f CT & removeF(C , C_f f , CR ) = CR'_S & where CR ' = ( T.f : T',cond ( T C ) ) ( T.f : T ' , ) CR & ( CR(T.f : T ' , ) ) & S = ( T ' = C_f if T= C ) ( T.f : T ' , ) CR & removeFs(C , C_f f , CR ) = CR'_S & where CR ' = CR_f ( C_f f ) C_f fremoveF(CR , C , C_f f ) = CR_f_S_f & S = S_f ( C_f f ) C_f f removeF(CR , C , C_f f ) = CR_f_S_fflalign*flalign * & addMs(C , M , CT ) = C.m : C C ' CT & removeM ( C , C ' m(C x ) return e , CR ) = CR'_S & where CR ' = ( T.m : TT',cond ( T C ) ) ( T.m : TT ' , ) CR & ( CR(T.m : TT ' , ) ) & S = ( T ' = C ' if T= C ) ( T = C if T= C ) ( T.m : TT ' , ) CR flalign*figurefigure[htbp]flalign*&removeMs(C , M , CR ) = CR'_S & where CR ' = CR_m ( C ' m(C x ) return e ) M & removeM(C , C ' m(C e ) return e , CR ) = CR_m_S_m & S = S_m ( C ' m(C x ) return e ) M & removeM(C , C ' m(C x ) return e , CR ) = CR_m_S_m & removeOptM(C , C ' m(C x ) return e , CR ) = CR'_S & where CR ' = ( T.m : TT',cond ( T C))_opt ( T.m : TT ' , ) _ opt CR & ( CR(T.m : TT ' , _ opt ) ) & S = ( T ' = C ' if T= C ) ( T = C if T= C ) ( T.m : TT ' , ) _ opt CR & removeOptMs(C , M , CR ) = ( CR ' ( CRCR'))_S & where CR ' = CR_m ( C ' m(C x ) return e ) M & removeOptM(CR , C , C ' m(C e ) return e ) = CR_m_S_m & S = S_m ( C ' m(C x ) return e ) M & removeOptM(CR , C , C ' m(C x ) return e ) = CR_m_S_m flalign*figure Equivalence of Contextual and Co - Contextual FJ sec : appendixB In here we describe a detailed proof of typing equivalence between FJ and co - contextual FJ ."
FEC,forward error correction,TR-931,"Fn algorithm[!htb ] RuleBlock * block = new RuleBlock ( ) ; block addRule ( new MamdaniRule ( "" if ( SpatialComplexity is HIGH and PacketLossRate is HIGH and FrameType is I ) then RedundancyAmount is HIGH "" , engine ) ) block addRule ( new MamdaniRule ( "" if ( TemporalIntensity is HIGH and PacketLossRate is HIGH and FrameType is I or P ) then RedundancyAmount is HIGH "" , engine ) ) Packet loss x video characteristics rulesalgo : MINT : lossVideoRules algorithmMINT - FEC utilises the same core structure of uavFEC , so once all the fuzzy rules and sets are defined , they are employed in real - time in the fuzzy logic controller ."
NE,nash equilibrium,TR-1105,"The AlgorithmsWe use two multi - population ( each player has its own population of chromosomes representing its alternative choices at any round ) co - evolutionary genetic algorithms , Vriend 's individual learning algorithm [ 15 ] and co - evolutionary programming , a similar algorithm that has been used for the game of prisoner 's dilemma [ 10 ] and , unsuccessfully , for Cournot Duopoly [ 13]. Since those two algorithms do n't , as it will be seen , lead to convergence to the NE in the models under consideration , we introduce two different versions of the algorithms , as well , which are characterized by the use of opponent choices , when the new generation of each player 's chromosome population is created , and therefore can be regarded as "" socialized "" versions of the two algorithms ."
